Name;Type;Class;Accuracy;Damage;Added effect
Baddy Bad;Dark;Special;Dexterity + Channel;Special + 3;If successful, for the next 4 rounds, the user and allies receives 1 less damage from Physical attacks. This effect does not stack. If the user is at its final evolution stage, this move fails.
Baneful Bunker;Poison;Support;Vitality + Nature;None;Priority 4. Shield Move. If the foe attacked using a Physical Move, it is now Poisoned. Remove 3 dice from the foe's damage pool.
Barrage;Normal;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Ranged. Multiple Actions (5).
Barrier;Psychic;Support;Special + Channel;None;Increase the user's Defense.
Baton Pass;Normal;Support;Special + Channel;None;Switcher Move. User switches out with another pokemon. Any attribute increase on the user is passed on to the next pokemon. The user can't increase its attributes again until the end of the scene.
Beat Up;Dark;Physical;Dexterity + Brawl;Strength + 2*;If the attack is successful, add 2 dice of damage for every ally pokemon that spends an action to help the user perform this move. Up to 3 allies my join.
Behemoth Bash;Steel;Physical;Vitality + Brawl;Strength + 4*;If the foe is under the effects of Dynamax, this move becomes Lethal and you add 4 extra damage dice to the damage pool.
Behemoth Blade;Steel;Physical;Strength + Brawl;Strength + 4*;If the foe is under the effects of Dynamax, this move becomes Lethal and you add 4 extra damage dice to the damage pool.
Belch;Poison;Special;Special + Channel;Special + 5;Accuracy -1. The user must eat something before using this move.
Belly Drum;Normal;Support;Tough + Perform;None;User deals damage to itself equal to half of its total HP rounded down. Increase the user's Strength by 3.
Bestow;Normal;Support;Cool + Etiquette;None;If the target is not holding an item, the user gives its item to the target.
Bide;Normal;Physical;Dexterity + Brawl;Varies;The user will take the next 2 hits. After those two attacks, you may use this move again to retaliate with Strength + twice the damage recieved from those two hits.
Bind;Normal;Physical;Dexterity + Brawl;Strength + 1;Accuracy -2. Blocks. Deal 2 dice of damage at the end of each round. Lasts 4 rounds.
Bite;Dark;Physical;Dexterity + Brawl;Strength + 2;Roll 3 chance dice to flinch the foe.
Blast Burn;Fire;Special;Special + Channel;Special + 6;Accuracy -1. Lethal. Must Recharge.
Blaze Kick;Fire;Physical;Dexterity + Brawl;Strength + 3;Accuracy -1. High Critical. Roll 2 chance dice to Burn(2) the foe.
Blizzard;Ice;Special;Special + Channel;Special + 5;Accuracy -2. Hits all foes. Roll 1 chance die to Freeze all foes. If Sunny weather is active, Accuracy becomes -3 instead. If hail Weather is active, ignore the reduced Accuracy, and this move cannot be evaded.
Block;Normal;Support;Dexterity + Brawl;None;Blocks.
Blue Flare;Fire;Special;Special + Channel;Special + 6;Roll 2 chance dice to burn the foe.
Body Press;Fight;Physical;Strength + Brawl;Vitality + 3;None;
Body Slam;Normal;Physical;Dexterity + Brawl;Strength + 3;Roll 3 chance dice to Paralyze the foe.
Boomburst;Normal;Special;Dexterity + Channel;Special + 6;Area Attack; Sound based.
Bounce;Flying;Physical;Dexterity + Brawl;Strength + 3;Charge Move. While chargin this move, the user is out of range. Roll 3 chance dice to Paralyze the foe.
Bouncy Bubble;Water;Special;Dexterity + Channel;Special + 3;The user restores HP equal to half the damage dealt, rounded down. If the user is at its final evolution stage, this move fails.
Brave Bird;Flying;Physical;Strength + Brawl;Strength + 5;Recoil.
Brick Break;Fight;Physical;Dexterity + Brawl;Strength +3;If a barrier is active on the foe's side of the battlefield, destroy it and add 2 dice to the damage pool.
Brine;Water;Special;Dexterity + Channel;Special + 2*;If the foe is at half HP or less, add 3 extra dice to the damage pool.
Brutal Swing;Dark;Physical;Dexterity + Brawl;Strength + 2;Lethal. Hits all foes.
Bubble;Water;Special;Dexterity + Channel;Special + 2;Target all foes. Roll 1 chance die to reduce the Dexterity of all foes by 1.
Bubble Beam;Water;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to reduce the foe's Dexterity by 1.
Bug Bite;Bug;Physical;Dexterity + Brawl;Strength + 2;If the target is holding a berry, the user eats it and gains its effect.
Bug Buzz;Bug;Special;Special + Perform;Special + 3;Sound based. Roll 1 chance die to reduce the foe's Sp. Defense by 1.
Bulk Up;Fight;Support;Vitality + Athletic;None;Increase the user's Strength and Defense by 1.
Bulldoze;Ground;Physical;Dexterity + Brawl;Strength + 2;Area attack. Reduce the Dexterity of all affected by 1.
Bullet Punch;Steel;Physical;Dexterity + Brawl;Strength + 2;Priority 1. Fist based.
Bullet Seed;Grass;Physical;Dexterity + Brawl;Strength + 1;Ranged. Multiple Actions (5).
Burn Up;Fire;Special;Will + Channel;Special + 7;Lethal. After dealing damage, the user is no longer considered a Fire-type for the rest of the day (if its only type was Fire, it is now consideres Typeless). Fire-type moves do not add their power to the damage pools of this pokemon's moves for the rest of the day.
Buzzy Buzz;Electric;Special;Dexterity + Channel;Special + 3;Paralyze the foe. If the user is at its final evolution stage, this move fails.
Calm Mind;Psychic;Support;Insight + Channel;None;Increase the user's Special and Sp. Defense by 1.
Camouflage;Normal;Support;Special + Nature;None;For the rest of the scene the user changes type to one that fits the terrain it is in.
Captivate;Normal;Support;Beauty + Allure;None;Hits all foes. Reduce Special of all foes of the opposite gender by 2.
Charge;Electric;Support;Insight + Nature;None;Add 2 dice to the damage pool of the next Electric damaging move the user performs.
Charge Beam;Electric;Special;Dexterity + Channel;Special + 2;Accuracy -1. Roll 5 chance dice to increase the user's Special by 1.
Charm;Fairy;Support;Cute + Allure;None;Reduce foe's Strength by 2.
Chip Away;Normal;Physical;Dexterity + Brawl;Strength + 3;This attack ignores Defense and Evasion modifiers on the foe.
Circle Throw;Fight;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Priority 1. Switcher Move. The foe is hit and knocked back to its trainer, forcing them to switch in another pokemon. In the wild, the battle ends.
Clamp;Water;Physical;Dexterity + Brawl;Strength + 2;Accuracy -2. Blocks. Deal 2 dice of damage at the end of each round. Lasts 4 rounds.
Clear Smog;Poison;Special;Dexterity + Channel;Special + 2;Never fails. Reset all increased or reduced Attributes on the foe.
Close Combat;Fight;Physical;Strength + Brawl;Strength + 5;After dealing damage, reduce the user's Defense and Sp. Defense by 1.
Coil;Poison;Support;Tough + Intimidate;None;Increase the user's Strength, Dexterity, and Accuracy by 1.
Comet Punch;Normal;Physical;Dexterity + Brawl;Strength + 1;Fist based. Multiple Actions (5).
Confide;Normal;Support;Cute + Allure;None;Reduce the foe's Special by 1.
Confuse Ray;Ghost;Support;Insight + Nature;None;Confuse the foe.
Confusion;Psychic;Special;Dexterity + Channel;Special + 2;Roll 1 chance dice to Confuse the foe.
Constrict;Normal;Physical;Dexterity + Brawl;Strength + 1;Blocks. Roll 2 dice of damage against the foe at the end of each round. Lasts 4 rounds.
Conversion;Normal;Support;Will + Channel;None;The user changes its type at random.
Conversion 2;Normal;Support;Will + Channel;None;After being dealt damage, choose a type resistant to the type of that attack. The user changes type to that type until this move is used again.
Copycat;Normal;Support;Same as copied move;Same as copied move;Copy the last move the foe has performed.
Core Enforcer;Dragon;Special;Special + Channel;Special + 4;If the foe has already inflicted damage this round, remove the foe's Ability for the rest of the scene.
Cosmic Power;Psychic;Support;Special + Channel;None;Increase the user's Defense and Sp. Defense by 1.
Cotton Guard;Grass;Support;Insight + Channel;None;Increase the user's Defense by 3.
Cotton Spore;Grass;Support;Insight + Channel;None;Reduce the foe's dexterity by 2.
Counter;Fight;Physical;Insight + Brawl;Varies;This move can only deal damage if the foe has dealt physical damage to the user this round. Roll the same damage pool as your foe plus 2 extra dice. Ignore the foe's Defenses.
Court Change;Normal;Support;Clever + Etiquette;None;Swap any barriers, Entry Hazards, and Effects on the user's and the foe's sides of the field.
Covet;Normal;Physical;Clever + Stealth;Strength + 2;If the user is not holding an item, steal the target's held item.
Crabhammer;Water;Physical;Dexterity + Brawl;Stength + 3;Accuracy -1. High Critical.
Crafy Shield;Fariy;Support;Insight + Nature;None;Priority 3. Shield Move. The user and its Allies are protected from the effects of Support moves.
Cross Chop;Fight;Physical;Dexterity + Brawl;Strength + 4;Accuracy -2. High Critical.
Cross Poison;Poison;Physical;Dexterity + Brawl;Strength + 3;High Critical. Roll 1 chance die to Poison the foe.
Crunch;Dark;Physical;Dexterity + Brawl;Strength + 3;Lethal. Roll 1 chance die to reduce the foe's Defense by 1.
Crush Claw;Normal;Physical;Dexterity + Brawl;Strength + 3;Roll 5 chance dice to reduce the target's Defense by 2.
Crush Grip;Normal;Physical;Strength + Brawl;Strength + 1*;Lethal. If the foe has a base HP higher than 3, add 1 die to the damage pool for every exceeding point. Up to 9 dice may be added this way.
Curse;Ghost;Support;Will + Channel;None;User is Ghost-type: Roll half of the user's HP as damage dice against itself, ignoring defenses. The target will remove 1 success from all of their rolls until the Curse is lifted. User is not Ghost-type: INcrease the user's Strength and Defense by 1. Reduce the user's Dexterity by 1.
Cut;Normal;Physical;Dexterity + Brawl;Strength + 2;May be used to cut down trees and clear paths.
Dark Pulse;Dark;Special;Insight + Channel;Special + 3;Targets random foe. Roll 2 chance dice to Flinch the foe.
Dark Void;Dark;Support;Insight + Channel;None;Accuracy -3. All foes are Asleep.
Darkest Lariat;Dark;Physical;Dexterity + Brawl;Strength + 3;Ignore the foe's Attribute increases that would decrease this move's damage.
Dazzling Gleam;Fairy;Special;Dexterity + Channel;Special + 3;Hits all foes.
Decorate;Fairy;Support;Beauty + Nature;None;Increase the Strength and Special of one Ally by 2.
Defend Order;Bug;Support;Tough + Nature;None;Inrease the user's Defense and Sp. Defense by 1.
Defense Curl;Normal;Support;Vitality + Brawl;None;Increase the user's Defense by 1.
Defog;Flying;Support;Insight + Nature;None;Remove all Barriers, Entry Hazards and Terrains from the battlefield.
Destiny Bond;Ghost;Support;Will + Channel;None;If the user faints this round due to combat damage, the pokemon that dealt the damage will faint at the same time.
Detect;Fight;Support;Insight + Alert;None;Priority 5. Shield Move. Reduce the damage the user would receive from a damaging move by 3. Negate the effect ofs of Status moves that target the user. Reduce to 0 the set damage the user would take from a move.
Dig;Ground;Physical;Dexterity + Brawl;Strength + 3;Charge Move. While charging this move, the user will be out of range. Can be hit by Earthquake, Magnitude or a similar move.
Disable;Normal;Support;Insight + Channel;None;The target cannot use the last move it performed. Lasts 4 rounds.
Disarming Voice;Fairy;Special;Insight + Perform;Special + 2;Sound based. Never fails. Hits all foes.
Discharge;Electric;Special;Dexterity + Channel;Special + 3;Area Attack. Roll 3 chance dice to Paralyze those affected.
Dive;Water;Physical;Dexterity + Brawl;Strength + 2;Charge Move. While charging this move, the user is out of range. Allows the pokemon to swim into deep waters.
Dizzy Punch;Normal;Physical;Dexterity + Brawl;Strength + 3;Roll 2 chance dice to confuse the foe. Fist based.
Doom Desire;Steel;Special;Insight + Allure;Special + 6;Strikes at the end of the round after the next. It bypasses any Shield Move and cover. If the target retires or switches out from battle, the damage will be dealt to the next opponent or to one of its allies. Additional effects may be added at GM's discretion.
Double Hit;Normal;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Double Action.
Double Iron Bash;Steel;Physical;Special + Brawl;Strength + 2;Roll 3 chance dice to Flinch the foe.
Double Kick;Fight;Physical;Dexterity + Brawl;Strength + 2;Double action.
Double Slap;Normal;Physical;Dexterity + Brawl;Strength + 1;Accuracy -2. Multiple Actions (5).
Double Team;Normal;Support;Dexterity + Evasion;None;The user can now make up to 5 Evasions per round.
Double-Edge;Normal;Physical;Strength + Brawl;Strength + 5;Recoil.
Draco Meteor;Dragon;Special;Special + Channel;Special + 6;Accuracy -1. Lethal. Reduce the user's Special by 2.
Dragon Breath;Dragon;Special;Dexterity + Channel;Special + 2;Roll 3 chance dice to Paralyze the foe.
Dragon Dance;Dragon;Support;Tough + Perform;None;Increase the user's Strength and Dexterity by 1.
Dragon Pulse;Dragon;Special;Dexterity + Channel;Special + 3;None;
Dragon Rage;Dragon;Special;Dexterity + Channel;Set Damage;This move always inflicts 2 damage.
Dragon Rush;Dragon;Physical;Dexterity + Brawl;Strength + 4;Accuracy -2. Roll 2 chance dice to Flinch the foe.
Dragon Tail;Dragon;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Priority -1. Switcher Move. In the wild, the battle ends. In official fight, the foe switches out.
Drain Punch;Fight;Physical;Dexterity + Brawl;Strength + 3;Fist based. The user restores HP equal to half the damage dealt, rounded down.
Draining Kiss;Fairy;Special;Dexterity + Channel;Special + 2;The user restores HP equal to half the damage dealt, rounded down.
Dream Eater;Psychic;Special;Special + Channel;Special + 4;The user restores HP equal to half the damage dealt, rounded down. The target must be asleep, otherwise this move fails.
Drill Peck;Flying;Physical;Dextrity + Brawl;Strength + 3;None.
Drill Run;Ground;Physical;Dexterity + Brawl;Strength + 3;High Critical.
Dual Chop;Dragon;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Double Action.
Dynamic Punch;Fight;Physical;Dexterity + Brawl;Strength + 4;Accuracy -3. Fist based. Confuse the foe.
Earth Power;Ground;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to reduce the foe's Sp. Defense by 1.
Earthquake;Ground;Physical;Dexterity + Brawl;Strength + 4;Area Attack. Ranged.
Echoed Voice;Normal;Special;Dexterity + Channel;Special + 2*;Sound based. This move can be used multiple times in the same round. Add 1 extra damage die to the damage pool for every consecutive time you have used it. Up to 8 dice may be added this way. Reset this effect if the user performs another move, evades, or clashes.
Eerie Impulse;Electric;Support;Insight + Nature;None;Reduce the foe's Special by 2.
Egg Bomb;Normal;Physical;Dexterity + Brawl;Strength + 4;Accuracy -2. Ranged.
Electric Terrain;Electric;Support;Insight + Nature;None;For the next 4 rounds, all Electric-type attacks will deal 1 extra die of damage. Anyone on the ground will be cured of Sleep.
Electrify;Electric;Support;Insight + Nature;None;The damage from the next attack made by the target is considered Electric-type damage.
Electro Ball;Electric;Special;Dexterity + Channel;Special + 2*;Add 1 extra dice to the damage pool for every point in Dexterity it has more than the foe. Up to 4 dice may be added in this way.
Electroweb;Electric;Special;Dexterity + Channel;Special + 2;Hits all foes. Reduce Dexterity of all foes by 1.
Embargo;Dark;Support;Tough + Intimidate;None;The target cannot ude its held item, and its trainer cannot use items on it.
Ember;Fire;Special;Dexterity + Channel;Special + 2;Roll 1 chance die to Burn(1) the foe.
Encore;Normal;Support;Cool + Allure;None;Priority 3. For the duration of this effect, the target will repeat the same action sequence it had this round. The target must have had an action sequence. Lasts 4 rounds.
Endeavor;Normal;Physical;Will + Channel;Varies;Roll damage equal to the user's missing HP (up to 10). This move cannot reuce the foe's HP to less than the user's HP. Ignores foe's defenses.
Endure;Normal;Support;Will + Channel;None;Priority 5. Shield Move. For the rest of the round, damaging moves cannot reduce the user's HP to less than 1. Status ailments, weather conditions, recoil, and self inflicted damge can still deal damage.
Energy Ball;Grass;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to reduce the foe's Sp. Defense by 1.
Entrainment;Normal;Support;Cool + Perform;None;the foe's Ability is replaced by the user's Ability.
Eruption;Fire;Special;Special + Channel;Special + 6;Lethal. Hits all foes. Remove 1 die from the damage pool for every HP the use ris missing. Up to 5 dice may be removed this way.
Explosion;Normal;Physical;Strength + Brawl;Strength + 10;Area Attack. Lethal. After the damage is dealt, the user faints.
Extrasensory;Psychic;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to Flinch the foe.
Extreme Speed;Normal;Physical;Dexterity + Brawl;Strength + 3;Priority 2. Triple the user's movement speed.
Facade;Normal;Physical;Dexterity + Brawl;Strength + 3;If the user has a Status Condition, add 3 extra dice to the damage pool.
Fairy Lock;Fairy;Support;Insight + Nature;None;Blocks;Lasts 1 round.
Fairy Wind;Fairy;Special;Dexterity + Channel;Special + 2;None
Fake Out;Normal;Physical;Dexterity + Brawl;Strength + 2;Priority 1. Flinch the foe. This move will only work on the first round the user is out in battle. From the second round on, it will fail automatically.
Fake Tears;Dark;Support;Cute + Perform;None;Reduce the foe's Sp. Defense by 2.
False Surrender;Dark;Physical;Insight + Allure;Strength + 3;Never fails.
False Swipe;Normal;Physical;Dexterity + Brawl;Strength + 2;The foe can't go below 1 HP as a result of damage from this move.
Feather Dance;Flying;Support;Beauty + Perform;None;Reduce the foe's Strength by 2.
Feint;Normal;Physical;Dexterity + Brawl;Strength + 1;Priority 2. This move ignores Shield Moves.
Feint Attack;Dark;Physical;Dexterity + Brawl;Strength + 2;Never fails.
Fell Stinger;Bug;Physical;Dexterity + Brawl;Strength + 1;If the foe faints due to damage from this attack, increase the user's Strength by 2.
Fiery Dance;Fire;Special;Dexterity + Perform;Special + 3;Roll 5 chance dice to increase the user's Special by 1.
Final Gambit;Fight;Special;Will + Athletic;Varies;Deals damage equal to the foe's remaining HP + 4. Ignore foe's defenses. The user faints after dealing damage.
Fire Blast;Fire;Special;Special + Channel;Special + 5;Accuracy -2. Lethal. Roll 3 chance dice to Burn(3) the foe.
Fire Fang;Fire;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Roll 2 chance dice to Flinch the foe. Roll 2 chance dice to Burn(1) the foe.
Fire Lash;Fire;Physical;Dexterity + Brawl;Strength + 3;Reduce the foe's Defense by 1.
Fire Pledge;Fire;Special;Dexterity + Channel;Special + 2;All flammable plants and objects on the battlefield are covered in flames. Roll 1 die of Fire damage at the end of each round against everyone else on the battlefield.
Fire Punch;Fire;Physical;Dexterity + Brawl;Strength + 3;Fist based. Roll 1 chance die to Burn(2) the foe.
Fire Spin;Fire;Special;Dexterity + Channel;Special + 2;Accuracy -2. Blocks. Roll 2 dice of damage on the foe at the end of each round. Lasts 4 rounds.
First Impression;Bug;Physical;Strength + Intimidate;Strength + 3;Priority 2. This move will only work on the first round the user is out.
Fissure;Ground;Physical;Strength + Brawl;Varies;Accuracy -5. Ranged. Deal damage equal to the target's remaining HP, plus 1 Lethal damage.
Flail;Normal;Physical;Dexterity + Brawl;Strength + 1*;Add 1 extra die to the damage pool for every point of missing HP the user has. Up to 5 dice may be added this way.
Flame Burst;Fire;Special;Dexterity + Channel;Special + 3;After dealing damage, the user may roll 1 die of damage against two other targets.
Flame Charge;Fire;Physical;Dexterity + Brawl;Strength + 2;Increase the user's Dexterity by 1.
Flame Wheel;Fire;Physical;Dexterity + Brawl;Strength + 2;Roll 1 chance die to Burn(1) the foe.
Flamethrower;Fire;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to Burn(2) the foe.
Flare Blitz;Fire;Physical;Strength + Brawl;Strength + 5;Recoil. Roll 1 chance die to Burn(3) the foe.
Flash;Normal;Support;Special + Channel;None;Reduce the foe's Accuracy by 1.
Flash Cannon;Steel;Special;Dexterity + Channel;Special + 3;Roll 1 chance die to reduce the foe's Sp. Defense by 1.
Flatter;Dark;Support;Cool + Allure;None;Increase the foe's Special by 1. Confuse the foe.
Fleur Cannon;Fairy;Special;Special + Channel;Special + 6;Accuracy -1. Lethal. Reduce the user's Special by 2.
Fling;Dark;Physical;Dexterity + Brawl;Strength + 1;Ranged. Add up to 4 dice to the damage pool, depending on the held item thrown. See P. 432 for more info.
Floral Healing;Fairy;Support;Insight + Nature;None;Targets one Ally. Basic Heal. If performed on Grassy Terrain, this move is a Complete Heal instead.
Flower Shield;Fairy;Support;Insight + Nature;None;Increase the Defense of all Grass-type pokemon on the field by 1.
Fly;Flying;Physical;Dexterity + Brawl;Strength + 3;Charge Move. While charging this move,the user will be out of range, except for the moves "Hurricane" and "Thunder".
Flying Press;Fight;Physical;Dexterity + Brawl;Strength + 3;When dealing damage with this move, it counts as if it was also a Flying-type move.
Focus Blast;Fight;Special;Special + Channel;Special + 5;Accuracy -2. Roll 1 chance die to reduce the foe's Sp. Defense.
Focus Energy;Normal;Support;Insight + Channel;None;All of the user's damaging moves now have "High Critical". This effect lasts until the end of the scene or until the user is removed from battle.
Focus Punch;Fight;Physical;Strength + Brawl;Strength + 6;Fist based. Charge Move. The user will Flinch if it gets hit before relesing this attack.
Follow Me;Normal;Support;Cool + Perform;None;Priority 5. Until the end of the round, all of the foes' mvoes will target the user.
Force Palm;Fight;Physical;Dexterity + Brawl;Strength + 2;Roll 3 chance dice to Paralyze the foe.
Foresight;Normal;Support;Insight + Alert;None;The foe cannot evade moves performed by the user. User ignores Ghost-type immunity to Normal and vice versa.
Foul Play;Dark;Physical;Dexterity + Brawl;Foe's Strength + 3;S.T.A.B. of the user and Strength of the foe apply for this move's damage.
Freeze Dry;Ice;Special;Dexterity + Channel;Special + 3;Water-type pokemon are dealth 2 extra damage.
Freeze Shock;Ice;Physical;Special + Channel;Strength + 6;Accuracy -1. Lethal. Ranged. Charge Move. Roll 3 chance dice to Paralyze the foe.
Freezy Frost;Ice;Special;Special + Channel;Special + 3;Accuracy -1. Remove all increases or reductions to the foe's Attributes and Traits. If the user is at its final evolution stage, this move fails.
Frost Breath;Ice;Special;Dexterity + Channel;Special + 2;This move is always a critical hit.
Frustration;Normal;Physical;Dexterity + Brawl;Strength + 0*;Add 1 extra die to the damage pool of this move for every missing point of happiness on the user.
Fury Attack;Normal;Physical;Dexterity + Brawl;Strength + 1;Accuracy -1. Multiple Action (5).
Fury Cutter;Bug;Physical;Dexterity + Brawl;Strength + 1;Multiple actions (5).
Fury Swipes;Normal;Physical;Dexterity + Brawl;Strength + 1;-1 Accuracy. Multiple actions (5).
Fusion Bolt;Electric;Physical;Strength + Channel;Strength + 4*;Lethal. If the move "Fusion Flare" has already been used by anyone this round, add 4 dice to the damage pool of this move.
Fusion Flare;Fire;Special;Special + Channel;Special + 4*;Lethal. If the move "Fusion Bolt" has already been used by anyone this round, add 4 dice to the damage pool.
Future Sight;Psychic;Special;Insight + Channel;Special + 5;Strikes at the end of the next round. It bypasses any Shield Move and cover. If the target retires or switches out from battle, the damage will be dealt to the next opponent or to one of its allies.
Gastro Acid;Poison;Support;Special + Channel;None;Negate any effect from the foe's Ability. Lasts until the end of the scene.
Gear Grind;Steel;Physical;Dexterity + Brawl;Strength + 2;Accuracy -1. Double Action.
Gear Up;Steel;Support;Vitality + Channel;None;Increase one Steel- or Electric-type ally's Strength and Special by 1.
Geomancy;Fairy;Support;Insight + Nature;None;Charge Move. The user charges, then increases its Dexterity, Special, and Sp. Defense by 2 on its next turn.
Giga Drain;Grass;Special;Dexterity + Channel;Special + 3;The user restores HP equal to half the damage dealt, rounded down.
Giga Impact;Normal;Physical;Strength + Brawl;Strength + 6;Accuracy -1. Must Recharge. Lethal.
Glaciate;Ice;Special;Dexterity + Channel;Special + 2;Lethal. Hits all foes. Reduce the Dexterity of all foes by 1.
Glare;Normal;Support;Tough + Intimidate;None;Accuracy -1. Paralyze the foe.
Glitzy Glow;Psychic;Special;Special + Channel;Special + 3;For the next 4 rounds, the user and allies will receive 1 less damage from Special attacks. This effect does not stack. If the user is at its final evolution stage, this move fails.
Grass Knot;Grass;Special;Dexterity + Channel;Special + 1;Add 1 die to the damage pool for every 50 kg the foe weighs. Up to 4 dice may be added this way.
Grass Pledge;Grass;Special;Dexterity + Channel;Special + 2;Area Attack. Reduce the Dexterity of all pokemon on the ground for the rest of the scene.
Grass Whistle;Grass;Support;Special + Perform;None;Accuracy -3. Sound based. Put the target to Sleep.
Grassy Terrain;Grass;Support;Special + Nature;None;If successful, spend 1 Will point to activate. Everyone on the user's side of the field heals 1 Hp at the end of each round. Add 1 die to the damage pool of all Grass-type moves.
Grav Apple;Grass;Physical;Dexterity + Channel;Strength + 3;Ranged;Reduce the foe's Defense by 1.
Gravity;Psychic;Support;Special + Channel;None;Flying and Levitating pokemon can be hit by Ground-type moves. Lasts 4 rounds.
Growl;Normal;Support;Tough/Cute + Perform;None;Reduce all foes' Strength by 1. Sound based.
Growth;Normal;Support;Special + Nature;None;Increase the user's Strength and Special by 1.
Grudge;Ghost;Support;Will + Channel;None;The user faints. The foe loses all its Will points and any effects it got from spending them. The foe must roll Loyalty at the end of each round to keep battling. Each round, one more success is required.
Guard Split;Psychic;Support;Special + Channel;None;Average the user's Defense and Sp. Defense with the foe.
Guard Swap;Psychic;Support;Special + Channel;None;Switch the user's Defense and Sp. Defense with the foe's.
Guillotine;Normal;Physical;Dexterity + Brawl;Varies;Accuracy -5. Deal damage equal to the target's remaining HP, plus 1 Lethal damage.
Gunk Shot;Poison;Physical;Strength + Brawl;Strength + 2;Roll 5 chance dice to Badly Poison the foe.
Gust;Flying;Special;Dexterity + Channel;Special + 2;None
